"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 03 11:27:49 GMT 2025","Tue Jun 03 11:28:05 GMT 2025","15409","Social Registry Sanity Test Suite","Sanity Suite","testcase.LoginPageTest","testcase.LoginPageTest","loginTest","loginTest",""
"passed","Tue Jun 03 11:31:20 GMT 2025","Tue Jun 03 11:31:38 GMT 2025","17967","Social Registry Sanity Test Suite","Sanity Suite","testcase.IdTypeTest","testcase.IdTypeTest","idTypeCreation","idTypeCreation",""
"passed","Tue Jun 03 11:28:57 GMT 2025","Tue Jun 03 11:29:15 GMT 2025","17813","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeCreation","genderTypeCreation",""
"passed","Tue Jun 03 11:32:42 GMT 2025","Tue Jun 03 11:32:58 GMT 2025","16885","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionUpdation","regionUpdation",""
"passed","Tue Jun 03 11:29:37 GMT 2025","Tue Jun 03 11:29:57 GMT 2025","20641","Social Registry Sanity Test Suite","Sanity Suite","testcase.GenderTypeTest","testcase.GenderTypeTest","genderTypeDeletion","genderTypeDeletion",""
"passed","Tue Jun 03 11:33:24 GMT 2025","Tue Jun 03 11:33:43 GMT 2025","19227","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagCreation","registrantTagCreation",""
"passed","Tue Jun 03 11:33:45 GMT 2025","Tue Jun 03 11:34:03 GMT 2025","18090","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagUpdation","registrantTagUpdation",""
"skipped","Tue Jun 03 11:31:18 GMT 2025","Tue Jun 03 11:31:18 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeDeletion","groupTypeDeletion",""
"passed","Tue Jun 03 11:32:20 GMT 2025","Tue Jun 03 11:32:40 GMT 2025","19824","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegionTest","testcase.RegionTest","regionCreation","regionCreation",""
"skipped","Tue Jun 03 11:28:30 GMT 2025","Tue Jun 03 11:28:30 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.IndividualTest","testcase.IndividualTest","individualDeletion","individualDeletion",""
"skipped","Tue Jun 03 11:31:18 GMT 2025","Tue Jun 03 11:31:18 GMT 2025","1","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTypeTest","testcase.GroupTypeTest","groupTypeUpdation","groupTypeUpdation",""
"skipped","Tue Jun 03 11:28:55 GMT 2025","Tue Jun 03 11:28:55 GMT 2025","0","Social Registry Sanity Test Suite","Sanity Suite","testcase.GroupTest","testcase.GroupTest","groupUpdation","groupUpdation",""
"passed","Tue Jun 03 11:34:05 GMT 2025","Tue Jun 03 11:34:26 GMT 2025","21764","Social Registry Sanity Test Suite","Sanity Suite","testcase.RegistrantTagsTest","testcase.RegistrantTagsTest","registrantTagDeletion","registrantTagDeletion",""
"passed","Tue Jun 03 11:34:48 GMT 2025","Tue Jun 03 11:35:03 GMT 2025","15220","Social Registry Sanity Test Suite","Sanity Suite","testcase.RelationshipTest","testcase.RelationshipTest","relationshipUpdation","relationshipUpdation",""
